model	abbreviation	officialName	equation	GENE ASSOCIATION	lowbnd	uppbnd	obj_coef	COMPARTMENT	SUBSYSTEM
iBth801	DKGLCNR2y	2,5-diketo-D-gluconate reductase (NADPH)	2,5-diketo-D-gluconate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => 5-Dehydro-D-gluconate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	DRPA	deoxyribose-phosphate aldolase	2-Deoxy-D-ribose 5-phosphate[1] => Acetaldehyde[1] + Glyceraldehyde 3-phosphate[1]	BT_3263	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	FCI	L-fucose isomerase	L-Fucose[1] <=> L-fuculose[1]	BT_1273	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	FCLPA	L-fuculose 1-phosphate aldolase	Dihydroxyacetone phosphate[1] + L-Lactaldehyde[1] <=> L-Fuculose 1-phosphate[1]	BT_1274	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	Dihydroxyacetone phosphate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] <=> Glycerol 3-phosphate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_2123	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	G6PDA	glucosamine-6-phosphate deaminase	D-Glucosamine 6-phosphate[1] + H2O[1] => D-Fructose 6-phosphate[1] + Ammonium[1]	BT_4127	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	GALCTLO	L-galactonate oxidoreductase	L-Galactonate[1] + Nicotinamide adenine dinucleotide[1] => Nicotinamide adenine dinucleotide - reduced[1] + D-Tagaturonate[1]	BT_3617	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	GALKr	galactokinase	ADP[1] + alpha-D-Galactose 1-phosphate[1] <=> ATP[1] + D-Galactose[1]	BT_0370	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	GUI1	glucuronate isomerase (D-glucuronate)	D-Fructuronate[1] <=> D-Glucuronate[1]	BT_0823	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	GUI2	glucuronate isomerase (D-galacturonate)	D-Galacturonate[1] <=> D-Tagaturonate[1]	BT_0823	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	HEX7	hexokinase (D-fructose:ATP)	ATP[1] + D-Fructose[1] => ADP[1] + D-Fructose 6-phosphate[1]	BT_3600	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	HPYRRx	Hydroxypyruvate reductase (NADH)	Hydroxypyruvate[1] + Nicotinamide adenine dinucleotide - reduced[1] => (R)-Glycerate[1] + Nicotinamide adenine dinucleotide[1]	NA	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	HPYRRy	Hydroxypyruvate reductase (NADPH)	Hydroxypyruvate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => (R)-Glycerate[1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_1207	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	LACZ	b-galactosidase	H2O[1] + Lactose[1] => D-Galactose[1] + D-Glucose[1]	BT_0993	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	LACZpp	b-galactosidase	H2O[3] + Lactose[3] => D-Galactose[3] + D-Glucose[3]	BT_3567	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	LCARS	lacaldehyde reductase (S-propane-1,2-diol forming)	(S)-Propane-1,2-diol[1] + Nicotinamide adenine dinucleotide[1] <=> L-Lactaldehyde[1] + Nicotinamide adenine dinucleotide - reduced[1]	BT_3767	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	LYXI	Lyxose isomerase	L-Lyxose[1] => L-Xylulose[1]	BT_3764	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MCITS	2-methylcitrate synthase	H2O[1] + Oxaloacetate[1] + Propanoyl-CoA[1] => 2-Methylcitrate[1] + Coenzyme A[1]	BT_2070	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MLTG1	Maltodextrin glucosidase (maltotriose)	H2O[1] + Maltotriose[1] => D-Glucose[1] + Maltose[1]	BT_3704	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MLTG2	Maltodextrin glucosidase (maltotetraose)	H2O[1] + Maltotetraose[1] => D-Glucose[1] + Maltotriose[1]	BT_3704	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MLTG3	Maltodextrin glucosidase (maltopentaose)	H2O[1] + Maltopentaose[1] => D-Glucose[1] + Maltotetraose[1]	BT_3704	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MLTG4	Maltodextrin glucosidase (maltohexaose)	H2O[1] + Maltohexaose[1] => D-Glucose[1] + Maltopentaose[1]	BT_3704	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MLTG5	Maltodextrin glucosidase (maltoheptaose)	H2O[1] + Maltoheptaose[1] => D-Glucose[1] + Maltohexaose[1]	BT_3704	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MMM2	Methylmalonyl-CoA mutase	Succinyl-CoA[1] => (R)-Methylmalonyl-CoA[1]	BT_2090:BT_2091	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	MNNH	D-mannonate hydrolyase	D-Mannonate[1] => 2-Dehydro-3-deoxy-D-gluconate[1] + H2O[1]	BT_1432	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	PACCOAL	phenylacetate-CoA ligase	ATP[1] + Coenzyme A[1] + Phenylacetic acid[1] => AMP[1] + Phenylacetyl-CoA[1] + Diphosphate[1]	BT_0571	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	PFK_2	Phosphofructokinase	ATP[1] + D-Tagatose 6-phosphate[1] => ADP[1] + D-Tagatose 1,6-biphosphate[1]	BT_2062	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	PGLYCP	Phosphoglycolate phosphatase	2-Phosphoglycolate[1] + H2O[1] => Glycolate[1] + Phosphate[1]	BT_4184	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	PGMT	phosphoglucomutase	D-Glucose 1-phosphate[1] <=> D-Glucose 6-phosphate[1]	BT_1548	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	PMANM	phosphomannomutase	D-Mannose 1-phosphate[1] <=> D-Mannose 6-phosphate[1]	BT_3950	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	PPAKr	Propionate kinase	ADP[1] + Propanoyl phosphate[1] <=> ATP[1] + Propanoate[1]	BT_3693	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	PPCSCT	Propanoyl-CoA: succinate CoA-transferase	Propanoyl-CoA[1] + Succinate[1] => Succinyl-CoA[1] + Propanoate[1]	BT_3193	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	PTA2	Phosphate acetyltransferase	Phosphate[1] + Propanoyl-CoA[1] => Coenzyme A[1] + Propanoyl phosphate[1]	BT_3692	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	RBP4E	L-ribulose-phosphate 4-epimerase	D-Xylulose 5-phosphate[1] <=> L-Ribulose 5-phosphate[1]	NA	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	RMI	L-rhamnose isomerase	L-Rhamnose[1] <=> L-Rhamnulose[1]	BT_3764	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	RMK	rhamnulokinase	ATP[1] + L-Rhamnulose[1] => ADP[1] + L-Rhamnulose 1-phosphate[1]	BT_3763	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	RMPA	Rhamnulose-1-phosphate aldolase	Dihydroxyacetone phosphate[1] + L-Lactaldehyde[1] <=> L-Rhamnulose 1-phosphate[1]	BT_3766	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	TAGURr	tagaturonate reductase	D-Altronate[1] + Nicotinamide adenine dinucleotide[1] <=> Nicotinamide adenine dinucleotide - reduced[1] + D-Tagaturonate[1]	BT_0825	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	TGBPA	Tagatose-bisphosphate aldolase	D-Tagatose 1,6-biphosphate[1] <=> Dihydroxyacetone phosphate[1] + Glyceraldehyde 3-phosphate[1]	BT_1691	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	TRE6PH	trehalose-6-phosphate hydrolase	H2O[1] + alpha,alpha'-Trehalose 6-phosphate[1] => D-Glucose 6-phosphate[1] + D-Glucose[1]	BT_3698	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	UDPG4E	UDPglucose 4-epimerase	UDPgalactose[1] <=> UDPglucose[1]	BT_0623	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	XYLI1	xylose isomerase	D-Xylose[1] <=> D-Xylulose[1]	BT_0793	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	XYLI2	xylose isomerase	D-Fructose[1] <=> D-Glucose[1]	BT_0793	-1000	1000	0	NA	Alternate Carbon Metabolism
iBth801	XYLK	xylulokinase	ATP[1] + D-Xylulose[1] => ADP[1] + D-Xylulose 5-phosphate[1]	BT_4423	0	1000	0	NA	Alternate Carbon Metabolism
iBth801	ME2	malic enzyme (NADP)	L-Malate[1] + Nicotinamide adenine dinucleotide phosphate[1] => CO2[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] + Pyruvate[1]	BT_1969	0	1000	0	NA	Anaplerotic Reactions
iBth801	PPA	inorganic diphosphatase	H2O[1] + Diphosphate[1] => 2 Phosphate[1]	BT_4003	0	1000	0	NA	Anaplerotic Reactions
iBth801	PPA2	inorganic triphosphatase	H2O[1] + Triphosphate[1] => Phosphate[1] + Diphosphate[1]	NA	0	1000	0	NA	Anaplerotic Reactions
iBth801	PPCK	phosphoenolpyruvate carboxykinase	ATP[1] + Oxaloacetate[1] <=> ADP[1] + CO2[1] + Phosphoenolpyruvate[1]	BT_2790	-1000	1000	0	NA	Anaplerotic Reactions
iBth801	ACGK	acetylglutamate kinase	N-Acetyl-L-glutamate[1] + ATP[1] => N-Acetyl-L-glutamyl 5-phosphate[1] + ADP[1]	BT_3395	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	ACODA	acetylornithine deacetylase	N2-Acetyl-L-ornithine[1] + H2O[1] => Acetate[1] + Ornithine[1]	BT_3549	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	ACOTA	acetylornithine transaminase	N-Acetyl-L-glutamate 5-semialdehyde[1] + L-Glutamate[1] <=> N2-Acetyl-L-ornithine[1] + 2-Oxoglutarate[1]	NA	-1000	1000	0	NA	Arginine and Proline Metabolism
iBth801	AGPR	N-acetyl-g-glutamyl-phosphate reductase	N-Acetyl-L-glutamyl 5-phosphate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] <=> N-Acetyl-L-glutamate 5-semialdehyde[1] + Nicotinamide adenine dinucleotide phosphate[1] + Phosphate[1]	BT_3759	-1000	1000	0	NA	Arginine and Proline Metabolism
iBth801	AMPTASEPG	aminopeptidase (pro-gly)	H2O[1] + L-Prolinylglycine[1] => Glycine[1] + L-Proline[1]	NA	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	ARGDCpp	arginine decarboxylase	L-Arginine[3] => Agmatine[3] + CO2[3]	BT_3394	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	ARGSL	argininosuccinate lyase	L-Arginine[1] + Fumarate[1] <=> N(omega)-(L-Arginino)succinate[1]	BT_3733	-1000	1000	0	NA	Arginine and Proline Metabolism
iBth801	ARGSS	argininosuccinate synthase	L-Aspartate[1] + ATP[1] + L-Citrulline[1] => AMP[1] + N(omega)-(L-Arginino)succinate[1] + Diphosphate[1]	BT_3760	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	2 ATP[1] + L-Glutamine[1] + H2O[1] + Bicarbonate[1] => 2 ADP[1] + Carbamoyl phosphate[1] + L-Glutamate[1] + Phosphate[1]	BT_0556:BT_0557	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	G5SD	glutamate-5-semialdehyde dehydrogenase	L-Glutamate 5-phosphate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => L-Glutamate 5-semialdehyde[1] + Nicotinamide adenine dinucleotide phosphate[1] + Phosphate[1]	BT_3718	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	GLU5K	glutamate 5-kinase	ATP[1] + L-Glutamate[1] => ADP[1] + L-Glutamate 5-phosphate[1]	BT_3719	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	NACODA	N-acetylornithine deacetylase	N-Acetyl-L-glutamate 5-semialdehyde[1] + H2O[1] => Acetate[1] + L-Glutamate 5-semialdehyde[1]	BT_3549	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	OCBT	ornithine carbamoyltransferase	Carbamoyl phosphate[1] + Ornithine[1] <=> L-Citrulline[1] + Phosphate[1]	BT_3717	-1000	1000	0	NA	Arginine and Proline Metabolism
iBth801	P5CD	1-pyrroline-5-carboxylate dehydrogenase	1-Pyrroline-5-carboxylate[1] + 2 H2O[1] + Nicotinamide adenine dinucleotide[1] => L-Glutamate[1] + Nicotinamide adenine dinucleotide - reduced[1]	BT_3115	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	P5CR	pyrroline-5-carboxylate reductase	1-Pyrroline-5-carboxylate[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => Nicotinamide adenine dinucleotide phosphate[1] + L-Proline[1]	BT_3757	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	PROD2	Proline dehydrogenase	Flavin adenine dinucleotide oxidized[1] + L-Proline[1] => 1-Pyrroline-5-carboxylate[1] + Flavin adenine dinucleotide reduced[1]	BT_3115	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	SPMDAT1	Spermidine acetyltransferase	Acetyl-CoA[1] + Spermidine[1] => N1-Acetylspermidine[1] + Coenzyme A[1]	BT_1079	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	SPMDAT2	Spermidine acetyltransferase (N8)	Acetyl-CoA[1] + Spermidine[1] => Coenzyme A[1] + N8-Acetylspermidine[1]	BT_1079	0	1000	0	NA	Arginine and Proline Metabolism
iBth801	3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	(R)-3-Hydroxydecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxodecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxododecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => (R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_3771	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxotetradecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => (R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_3771	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	3-Oxohexadecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] <=> R-3-hydroxypalmitoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => (R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_3771	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxooctadecanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1] => (R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1]	BT_3771	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	(3R)-3-Hydroxyacyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> Acetoacetyl-ACP[1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxohexanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAR80	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate[1] <=> 3-Oxooctanoyl-[acyl-carrier protein][1] + Nicotinamide adenine dinucleotide phosphate - reduced[1]	BT_3771	-1000	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	Malonyl-[acyl-carrier protein][1] + Octanoyl-ACP (n-C8:0ACP)[1] => 3-Oxodecanoyl-[acyl-carrier protein][1] + CO2[1]	NA	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	Decanoyl-ACP (n-C10:0ACP)[1] + Malonyl-[acyl-carrier protein][1] => 3-Oxododecanoyl-[acyl-carrier protein][1] + CO2[1]	NA	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	Dodecanoyl-ACP (n-C12:0ACP)[1] + Malonyl-[acyl-carrier protein][1] => 3-Oxotetradecanoyl-[acyl-carrier protein][1] + CO2[1]	NA	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS160	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	Malonyl-[acyl-carrier protein][1] + Myristoyl-ACP (n-C14:0ACP)[1] => 3-Oxohexadecanoyl-[acyl-carrier protein][1] + CO2[1]	NA	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	Malonyl-[acyl-carrier protein][1] + Palmitoyl-ACP (n-C16:0ACP)[1] => 3-Oxooctadecanoyl-[acyl-carrier protein][1] + CO2[1]	BT_3358	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)[1] + Malonyl-[acyl-carrier protein][1] => 3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein][1] + CO2[1]	BT_3358	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	Malonyl-[acyl-carrier protein][1] + Butyryl-[acp][1] => 3-Oxohexanoyl-[acyl-carrier protein][1] + CO2[1]	BT_3358	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	Hexanoyl-ACP (n-C6:0ACP)[1] + Malonyl-[acyl-carrier protein][1] => 3-Oxooctanoyl-[acyl-carrier protein][1] + CO2[1]	NA	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	ATP[1] + tetradecanoate (n-C14:0)[1] => AMP[1] + Myristoyl-ACP (n-C14:0ACP)[1] + Diphosphate[1]	BT_3359	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	ATP[1] + tetradecenoate (n-C14:1)[1] => AMP[1] + Diphosphate[1] + cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)[1]	BT_3359	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	ATP[1] + Hexadecanoate (n-C16:0)[1] => AMP[1] + Palmitoyl-ACP (n-C16:0ACP)[1] + Diphosphate[1]	BT_3359	0	1000	0	NA	Cell Envelope Biosynthesis
iBth801	AACPS4	acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	ATP[1] + Hexadecenoate (n-C16:1)[1] => AMP[1] + cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)[1] + Diphosphate[1]	BT_3359	0	1000	0	NA	Cell Envelope Biosynthesis
